City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
283,quang ngai,15.1167,108.8,30.38,70,96,1.44,VN,1694136618
284,ta`u,-14.2336,-169.5144,26.17,79,16,7.16,AS,1694136618
285,nadi,-17.8,177.4167,30.0,42,40,5.66,FJ,1694136592
286,det udom,14.906,105.0784,26.9,75,99,2.55,TH,1694136619
287,cidreira,-30.1811,-50.2056,17.52,91,100,8.99,BR,1694136619
288,phan thiet,10.9333,108.1,29.94,69,93,3.58,VN,1694136620
289,motygino,58.1831,94.7592,9.62,98,100,1.76,RU,1694136620
290,yuzhno-kurilsk,44.0306,145.8556,17.78,58,0,4.4,RU,1694136621
291,markovo,57.3206,107.0881,11.49,78,95,1.72,RU,1694136621
292,nar'yan-mar,67.6713,53.087,5.6,92,68,3.13,RU,1694136622
293,neryungri,56.6709,124.6491,1.74,83,89,8.16,RU,1694136622
294,soio,-6.1349,12.3689,22.84,91,0,2.57,AO,1694136623
295,nueva guinea,11.6876,-84.4562,23.27,95,67,2.51,NI,1694136624
296,trairi,-3.2778,-39.2689,25.76,83,6,5.62,BR,1694136333
297,alofi,-19.0595,-169.9187,24.26,76,6,8.07,NU,1694136624
298,volzhskiy,48.7858,44.7797,6.73,52,0,3.48,RU,1694136625
299,wynyard,-41.0,145.7167,6.66,82,100,2.39,AU,1694136625
300,melo,-32.3667,-54.1833,16.88,98,100,3.87,UY,1694136626
301,calvinia,-31.4707,19.776,11.97,22,50,2.04,ZA,1694136627
302,bereznik,62.8551,42.7072,7.8,85,100,4.41,RU,1694136627
303,vilyuchinsk,52.9306,158.4028,22.15,77,59,7.53,RU,1694136627
304,tionk essil,12.7856,-16.5217,25.03,88,100,1.79,SN,1694136628
305,bemidji,47.4736,-94.8803,15.31,83,0,3.6,US,1694136443
306,sawang daen din,17.4753,103.4575,28.38,100,100,1.09,TH,1694136629
307,eynesil,41.0645,39.1438,22.03,84,71,4.65,TR,1694136629
308,egilsstadir,65.2653,-14.3948,10.95,82,0,4.12,IS,1694136630
309,labytnangi,66.6572,66.4183,10.26,71,76,1.82,RU,1694136630
310,ventspils,57.3894,21.5606,5.96,100,75,0.0,LV,1694136631
311,qarazhal,48.0078,70.7903,14.79,68,100,2.37,KZ,1694136631
312,tashtagol,52.7657,87.8894,8.67,94,100,1.04,RU,1694136632
313,west fargo,46.875,-96.9004,19.0,56,0,2.57,US,1694136632
314,ulsteinvik,62.3432,5.8487,16.15,88,100,0.45,NO,1694136633
315,phayakkhaphum phisai,15.5163,103.1937,29.12,75,100,5.09,TH,1694136634
316,fort st. john,56.2499,-120.8529,16.94,36,75,4.63,CA,1694136634
317,juneau,58.3019,-134.4197,12.9,93,100,4.12,US,1694136635
318,hobyo,5.3505,48.5268,25.31,85,66,9.79,SO,1694136635
319,tanout,14.9709,8.8879,32.71,32,49,3.93,NE,1694136636
320,cacu,-18.5567,-51.1308,25.16,32,2,2.51,BR,1694136636
321,freyung,48.8,13.55,14.85,80,3,2.2,DE,1694136637
322,cuatro cienegas de carranza,26.9833,-102.0833,30.57,34,1,4.78,MX,1694136637
323,kerikeri,-35.2268,173.9474,17.28,49,0,2.95,NZ,1694136638
324,banff,51.1762,-115.5698,16.57,54,26,1.03,CA,1694136609
325,la'ie,21.6477,-157.9253,31.98,65,100,2.68,US,1694136639
326,gemena,3.25,19.7667,22.38,94,100,0.18,CD,1694136639
327,kisangani,0.5167,25.2,22.1,80,29,0.7,CD,1694136640
328,khekra,28.8667,77.2833,26.03,67,30,2.21,IN,1694136640
329,saurimo,-9.6608,20.3916,19.46,69,2,1.48,AO,1694136641
330,mossel bay,-34.1831,22.146,13.96,86,100,0.31,ZA,1694136641
331,mehran,33.1222,46.1646,32.76,15,0,2.48,IR,1694136642
332,queenstown,-31.8976,26.8753,10.81,32,33,1.66,ZA,1694136612
333,wagar,16.1525,36.2032,30.76,59,48,7.91,SD,1694136643
334,madalena,41.2162,-8.3345,21.37,88,20,1.01,PT,1694136643
335,qaisumah,28.3112,46.1273,30.98,20,0,3.09,SA,1694136644
336,lodja,-3.4833,23.4333,21.35,87,33,0.85,CD,1694136644
337,kirakira,-10.4544,161.9205,28.56,74,100,7.37,SB,1694136644
338,tumaco,1.7986,-78.8156,25.41,85,56,2.61,CO,1694136645
339,tsiombe,-25.3,45.4833,18.3,78,67,2.01,MG,1694136645
340,concepcion,-36.827,-73.0498,9.89,100,75,1.03,CL,1694136646
341,laguna,38.421,-121.4238,32.73,33,0,4.12,US,1694136647
342,keelung,25.1283,121.7419,27.75,85,100,3.09,TW,1694136647
343,winnemucca,40.973,-117.7357,29.03,17,20,5.14,US,1694136647
344,santa terezinha,-29.9002,-50.0904,17.73,92,100,8.18,BR,1694136648
345,taoudenni,22.6783,-3.9836,36.88,22,94,8.62,ML,1694136648
346,vygonichi,53.0985,34.0673,7.17,82,58,2.95,RU,1694136649
347,balykshi,47.0667,51.8667,14.0,94,75,3.0,KZ,1694136649
348,malangali,-8.5667,34.85,16.95,79,9,4.52,TZ,1694136650
349,kurumkan,54.3,110.3,13.47,64,6,1.5,RU,1694136650
350,port augusta,-32.5,137.7667,13.71,37,5,9.04,AU,1694136383
351,ankazoabo,-22.2833,44.5167,16.42,89,3,3.78,MG,1694136651
